epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.3028,1.68776,6.29877,0.00821,0,0,0,0,1.60072,5.05784,0.00736,0.0066,0.0022,0.0066,0.0022,0.0846,0.0802,0.0066,0.0022
2,146.777,1.5774,5.80863,0.00742,0,0,0,0,1.80007,4.75761,0.00734,0.0133663,0.00445545,0.0133663,0.00445545,0.0683663,0.0594554,0.0133663,0.00445545
3,218.835,1.68427,5.03604,0.00783,0.00938,0.10686,0.02139,0.01722,1.74358,4.37037,0.00835,0.0199961,0.00666536,0.0199961,0.00666536,0.0519961,0.0386654,0.0199961,0.00666536
4,328.426,1.78838,4.61038,0.0081,0.00179,0.21784,0.01039,0.0069,1.95586,4.4299,0.01057,0.0264892,0.00882973,0.0264892,0.00882973,0.0354892,0.0178297,0.0264892,0.00882973
5,398.425,1.82558,4.51635,0.0086,0.71256,0.01562,0.02709,0.02011,2.06175,11.3312,0.01173,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,466.757,1.87385,4.40129,0.00879,0.28374,0.02604,0.0041,0.00294,2.23097,20.8554,0.01381,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,536.338,1.86659,4.18999,0.00856,0.31585,0.007,0.00222,0.00131,2.28294,31.5941,0.01345,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,645.019,1.84674,4.06027,0.00886,0.09651,0.20616,0.00843,0.00675,2.04822,28.9223,0.0107,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,769.835,1.8926,3.88057,0.0086,0.30234,0.07898,0.01751,0.01358,2.0683,31.3803,0.01084,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,881.28,1.86127,3.78634,0.00848,0.6727,0.02604,0.01537,0.01233,1.96785,6.36584,0.01098,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,999.815,1.83165,3.60732,0.00818,0.5542,0.04167,0.02347,0.01465,2.11659,12.985,0.01155,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1074.88,1.83376,3.45855,0.00866,0.19124,0.13929,0.00483,0.00273,2.09165,35.4641,0.01098,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1143.93,1.85063,3.41525,0.00826,0.16086,0.14189,0.00785,0.00478,2.02092,41.6409,0.0104,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1214.48,1.82282,3.27635,0.00857,0.1305,0.04693,0.00667,0.00445,2.02238,10.9466,0.01248,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1282.29,1.81136,3.22626,0.0084,0.52196,0.0402,0.03009,0.02481,1.92816,11.6556,0.01084,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1353.91,1.82698,3.09707,0.00797,0.16933,0.06637,0.00698,0.00478,2.0706,11.0801,0.01137,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1423.65,1.81342,3.11899,0.00837,0.19707,0.08389,0.01568,0.01135,2.137,15.3029,0.0114,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1492.26,1.81751,3.0005,0.00779,0.16243,0.06067,0.00852,0.00565,2.14434,10.6669,0.01133,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1585.18,1.77702,2.97009,0.00806,0.4288,0.01846,0.0216,0.01638,2.04824,8.70752,0.011,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1697.52,1.80162,2.88914,0.00789,0.26882,0.05114,0.01415,0.01187,1.94398,9.6597,0.00993,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1813.07,1.77806,2.85677,0.00817,0.36175,0.02952,0.02255,0.01403,2.03908,14.3871,0.0111,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1923.18,1.8037,2.83753,0.00777,0.47217,0.03051,0.03094,0.02467,2.01537,14.9393,0.01053,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2046.21,1.80417,2.73219,0.00788,0.22555,0.08921,0.00616,0.00435,2.00103,16.7304,0.00979,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2170.95,1.7312,2.68841,0.00772,0.37414,0.04392,0.02404,0.01641,2.05602,9.48283,0.01125,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2294.97,1.74218,2.62936,0.00757,0.40444,0.04891,0.02254,0.01649,1.90879,8.85147,0.01,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2418.56,1.7845,2.68356,0.00789,0.34308,0.0873,0.03128,0.02533,1.95026,16.3393,0.00978,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2524.39,1.75057,2.56824,0.0073,0.20646,0.08682,0.01769,0.0128,1.96612,12.1042,0.00989,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2594.1,1.75758,2.52754,0.00751,0.20265,0.07349,0.0199,0.01537,1.90431,9.2227,0.00927,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2664.53,1.73434,2.50333,0.00765,0.20335,0.09802,0.01771,0.01269,1.88892,8.81827,0.00976,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2735.98,1.75352,2.5485,0.00754,0.16852,0.06397,0.01365,0.0085,1.9508,10.9399,0.00906,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2807.47,1.74133,2.49735,0.00761,0.17154,0.07852,0.0166,0.01093,2.07651,13.1655,0.01162,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,2880.23,1.73786,2.40742,0.00735,0.13683,0.08959,0.0117,0.00854,1.82316,14.1035,0.00819,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2950.5,1.72983,2.39196,0.00757,0.36048,0.0369,0.01722,0.01195,1.94789,10.4545,0.00994,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3021.08,1.67196,2.2987,0.00738,0.14125,0.11774,0.01394,0.01141,1.98997,12.1322,0.01028,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3092.18,1.72983,2.31654,0.00727,0.16867,0.06696,0.01191,0.00836,2.04577,10.785,0.01057,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3162.95,1.6882,2.30964,0.00732,0.2679,0.08359,0.01616,0.01164,1.99791,11.7397,0.00984,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3233.74,1.70859,2.26474,0.00709,0.23179,0.07221,0.0178,0.01346,1.9059,11.6113,0.00932,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
